id,x,y,z,yaw,pitch,roll
1,1772.71,866.34,0,0.0234487,-0.00737262,-0.00655272
2,1772.71,866.34,0,0.0234487,-0.00737262,-0.00655272
3,1773.16,866.359,0,0.0238665,-0.00836681,-0.0013766
4,1773.48,866.358,0,0.0239261,-0.00540077,-0.00347112
5,1773.89,866.345,0,0.0241075,-0.00542143,-0.0107002
6,1774.29,866.341,0,0.0241048,-0.00827595,-0.0126052
7,1774.67,866.327,0,0.0243074,-0.00923466,-0.0183244
8,1774.96,866.285,0,0.0247379,-0.0111396,-0.0259696
9,1775.4,866.371,0,0.0242619,-0.0169085,-0.00969811
10,1775.87,866.373,0,0.0240743,-0.0180575,-0.0131666
11,1776.23,866.376,0,0.0237614,-0.019452,-0.0145214
12,1776.65,866.381,0,0.024026,-0.0176383,-0.0121888
13,1776.99,866.365,0,0.0241788,-0.0178692,-0.0115298
14,1777.4,866.389,0,0.0245854,-0.0193572,-0.00695593
15,1777.86,866.41,0,0.024588,-0.0222218,-0.0126373
16,1778.21,866.412,0,0.0237711,-0.0240849,-0.0146328
17,1778.67,866.404,0,0.0241533,-0.0245652,-0.0135303
18,1779.15,866.456,0,0.0244763,-0.0221778,-0.00234612
19,1779.49,866.438,0,0.0250494,-0.0255886,-0.00885229
20,1779.82,866.396,0,0.0212598,-0.0303952,-0.049843
21,1780.28,866.383,0,0.0214531,-0.0336739,-0.0553441
22,1780.74,866.422,0,0.0210514,-0.0355559,-0.0464021
23,1781.14,866.398,0,0.0207407,-0.0353521,-0.0561015
24,1781.52,866.404,0,0.0203542,-0.0329072,-0.0591868
25,1781.88,866.404,0,0.0213333,-0.0215609,-0.0591087
26,1782.27,866.424,0,0.0216502,-0.0221948,-0.0547677
27,1782.7,866.45,0,0.0220331,-0.0232778,-0.0464727
28,1783.16,866.471,0,0.0223021,-0.0256749,-0.042191
29,1783.56,866.429,0,0.0218881,-0.0252919,-0.0583197
30,1784.01,866.468,0,0.0221228,-0.0224241,-0.0515611
31,1784.45,866.492,0,0.022894,-0.0216084,-0.0468071
32,1784.87,866.503,0,0.023232,-0.0195076,-0.0401255
33,1785.29,866.512,0,0.0234044,-0.0244592,-0.0416109
34,1785.71,866.519,0,0.0240239,-0.0270176,-0.040659
35,1786.15,866.533,0,0.0238625,-0.0284122,-0.0399847
36,1786.57,866.568,0,0.02417,-0.02984,-0.0319103
37,1786.96,866.581,0,0.023598,-0.0151014,-0.0308065
38,1787.39,866.574,0,0.0240029,-0.0131562,-0.0351564
39,1787.82,866.57,0,0.0241731,-0.0135838,-0.0389193
40,1788.26,866.575,0,0.0252648,-0.0159788,-0.0395971
41,1788.72,866.652,0,0.030395,-0.0146366,0.00410794
42,1789.14,866.687,0,0.0305235,-0.0150692,0.00818029
43,1789.58,866.683,0,0.0306406,-0.0185363,0.00335214
44,1790.01,866.666,0,0.0303909,-0.0240855,-0.00567719
45,1790.45,866.67,0,0.0305462,-0.0257814,-0.00668571
46,1790.93,866.697,0,0.0300407,-0.0283296,-0.00513987
47,1791.38,866.708,0,0.0305893,-0.0282921,-0.00415558
48,1791.82,866.719,0,0.032038,-0.0277669,0.000426175
49,1792.27,866.716,0,0.0327845,-0.0245563,0.000420521
50,1792.7,866.713,0,0.0328946,-0.0244789,-0.00362314
51,1792.93,866.721,0,0.0335582,-0.0264892,-0.00237029
52,1793.53,866.749,0,0.0326623,-0.0233835,-0.000826287
53,1793.9,866.773,0,0.0330438,-0.0248869,0.00263591
54,1794.19,866.781,0,0.0340489,-0.0244992,0.00353053
55,1794.8,866.808,0,0.0346024,-0.0200634,0.00930394
56,1795.23,866.817,0,0.0346726,-0.0189721,0.00994877
57,1795.58,866.83,0,0.0349328,-0.0204079,0.01174
58,1795.94,866.829,0,0.0350966,-0.0207615,0.0100125
59,1796.42,866.893,0,0.0345683,-0.0231662,0.0225531
60,1796.73,866.868,0,0.035371,-0.0249634,0.0156254
61,1797.4,866.907,0,0.035436,-0.0240836,0.0201582
62,1797.75,866.928,0,0.0361546,-0.0135189,0.0240353
63,1798.13,866.939,0,0.0362224,-0.0137932,0.0241271
64,1798.64,866.947,0,0.0366239,-0.0169218,0.0230912
65,1798.97,866.952,0,0.0373734,-0.0178278,0.022513
66,1799.39,866.989,0,0.0374675,-0.017887,0.0290573
67,1799.82,867.022,0,0.0375094,-0.0203759,0.033151
68,1800.25,867.042,0,0.0380544,-0.020456,0.0351723
69,1800.66,867.028,0,0.0381349,-0.0231049,0.0276459
70,1801.1,867.027,0,0.0380761,-0.0229597,0.0241953
71,1801.44,867.023,0,0.0383289,-0.0229821,0.0210602
72,1801.96,867.038,0,0.039002,-0.0250579,0.0198964
73,1802.39,867.059,0,0.0389423,-0.0248285,0.0212483
74,1802.51,867.053,0,0.0396473,-0.0197981,0.0184449
75,1803.25,867.125,0,0.0399203,-0.0133031,0.0310404
76,1803.63,867.13,0,0.0401276,-0.0166397,0.0308217
77,1803.89,867.108,0,0.0411484,-0.017859,0.0252924
78,1803.97,867.088,0,0.0417905,-0.0156254,0.0197725
